1475-braun-justin,3.8,23.0,6.05,165217.39
2634-ekblad-aaron,0.925,36.0,38.92,25694.44
2812-eichel-jack,0.925,56.0,60.54,16517.86
2817-mcdavid-connor,0.925,48.0,51.89,19270.83
544-hamhuis-dan,4.25,13.0,3.06,326923.08
706-dupuis-pascal,4.0,11.0,2.75,363636.36
1799-gallagher-brendan,5.5,40.0,7.27,137500.0
1588-ekholm-mattias,1.038,35.0,33.72,29657.14
1822-silfverberg-jakob,3.75,39.0,10.4,96153.85
645-oduya-johnny,3.75,21.0,5.6,178571.43
2260-lee-anders,2.0,36.0,18.0,55555.56
579-perron-david,4.5,20.0,4.44,225000.0
1049-berglund-patrik,3.7,15.0,4.05,246666.67
374-coburn-braydon,4.0,10.0,2.5,400000.0
1650-despres-simon,0.9,4.0,4.44,225000.0
1472-fayne-mark,3.5,7.0,2.0,500000.0
1590-read-matt,4.0,26.0,6.5,153846.15
409-stuart-brad,3.6,13.0,3.61,276923.08
1067-sbisa-luca,3.2,8.0,2.5,400000.0
1160-backlund-mikael,3.575,47.0,13.15,76063.83
2610-reinhart-sam,0.925,42.0,45.41,22023.81
379-ribeiro-mike,3.5,50.0,14.29,70000.0
1304-eller-lars,2.5,26.0,10.4,96153.85
1302-desharnais-david,3.5,29.0,8.29,120689.66
1823-stone-mark,2.25,61.0,27.11,36885.25
1573-gudbranson-erik,2.75,9.0,3.27,305555.56
1581-atkinson-cam,2.5,53.0,21.2,47169.81
1002-turris-kyle,3.5,30.0,8.57,116666.67
789-smid-ladislav,3.75,1.0,0.27,3750000.0
494-wisniewski-james,5.0,34.0,6.8,147058.82
2749-panarin-artemi,0.7,77.0,110.0,9090.91
673-staal-eric,9.5,33.0,3.47,287878.79
1710-smith-reilly,3.35,50.0,14.93,67000.0
2630-draisaitl-leon,0.925,51.0,55.14,18137.25
1247-reimer-james,2.0,0.0,0.0,0
1698-cizikas-casey,1.2,29.0,24.17,41379.31
2156-gudas-radko,1.4,14.0,10.0,100000.0
2158-johnson-tyler,3.2,38.0,11.88,84210.53
2163-palat-ondrej,3.2,40.0,12.5,80000.0
1009-mcginn-jamie,3.0,12.0,4.0,250000.0
1308-franson-cody,3.325,17.0,5.11,195588.24
660-ward-cam,6.8,10.0,1.47,680000.0
1069-bailey-josh,3.5,32.0,9.14,109375.0
399-daley-trevor,3.1,22.0,7.1,140909.09
1022-ward-joel,3.275,43.0,13.13,76162.79
1671-dillon-brenden,2.4,11.0,4.58,218181.82
321-ference-andrew,3.75,14.0,3.73,267857.14
456-vrbata-radim,5.0,27.0,5.4,185185.19
1966-huberdeau-jonathan,2.5,54.0,21.6,46296.3
1252-stoner-clayton,3.25,6.0,1.85,541666.67
676-williams-justin,3.25,52.0,16.0,62500.0
1990-toffoli-tyler,2.6,58.0,22.31,44827.59
2202-reinhart-griffin,0.833,0.0,0.0,0
